SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,loadtime,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,Pilot-3,1,1,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,750,NA,7817,Datisi,1,1,0,0
1_2,1,Pilot-3,2,1,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,750,NA,6764,Disamis,1,1,0,0
1_3,1,Pilot-3,3,1,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,750,NA,8539,Darii,0,0,0,0
1_4,1,Pilot-3,4,1,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,750,NA,7228,Dimatis,1,1,0,0
1_5,1,Pilot-3,5,1,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,750,NA,6355,Datisi,1,1,0,0
1_6,1,Pilot-3,6,1,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,750,NA,8014,Darii,1,1,0,0
1_7,1,Pilot-3,7,1,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,750,NA,6073,Darii,1,1,0,0
1_8,1,Pilot-3,8,1,arms,Homonymy,Disamis,1,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,750,NA,7943,Disamis,0,0,0,0
1_9,1,Pilot-3,9,1,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,750,NA,6740,Disamis,0,0,0,0
1_10,1,Pilot-3,10,1,dinners,Polysemy,Barbara,1,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,750,NA,6269,Barbara,0,0,0,0
1_11,1,Pilot-3,11,1,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,750,NA,5924,Disamis,1,1,0,0
1_12,1,Pilot-3,12,1,chickens,Polysemy,Datisi,1,All chickens lay eggs,Some chickens are roasts,Some roasts lay eggs,750,NA,7693,Datisi,0,0,0,0
1_13,1,Pilot-3,13,1,boards,Homonymy,Dimatis,1,Some committees are boards,All boards are rectangles,Some rectangles are committees,750,NA,6731,Dimatis,0,0,0,0
1_14,1,Pilot-3,14,1,foundations,Homonymy,Dimatis,1,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,750,NA,6481,Dimatis,0,0,0,0
1_15,1,Pilot-3,15,0,panels,Homonymy,Datisi,1,All panels have judges,Some panels are electronics,Some electronics have judges,750,NA,8334,Datisi,0,1,0,0
